Locality,Period,Date,Gite number,Gite number,Positivity,Gite type,Exposition,Vegetation,gps: 30 p,gps: utm,gps: altitude,Gite permeter,Distance from home,Gite nature ,Gite productivity,Water movement,Turbidity gite,Depth,Debris,Predator,Other spinless,Study arm,Treatment number,Deep number,L1-Anopheles spp.,L2-Anopheles spp.,L3-Anopheles spp.,L4-Anopheles spp.,L1-Culex spp.,L2-Culex spp.,L3-Culex spp.,L4-Culex spp.,L1-Aedes spp.,L2-Aedes spp.,L3-Aedes spp.,L4-Aedes spp.,Nymphe,Total.anopheles,Total.culex,Total.aedes,An. L1L2,An. L3L4,Cx.L1L2,Cx.L3L4,Ae.L1L2,Ae.L3L4,dAn. L1L2,dAn. L3L4,dCx.L1L2,dCx.L3L4,dAe.L1L2,dAe.L3L4,dTotal.anopheles,dTotal.culex,dTotal.aedes,dnymph
Kakologo,sun season,16/03/2019,kamars001,1,water,reflew shower ,sunny,no grassy,215480,1022592,335,< 1 m,< 100 m,permanent,positive,stagnant,tubid,"< 0,5 m",organic matter,absent,dipterea,LLIN + Bti,trt00,5,0,0,0,0,28,33,17,22,0,0,0,0,11,0,100,0,100,0,0,61,39,0,0,0,0,12.2,7.8,0,0,0,20,0
Kakologo,sun season,16/03/2019,kamars002,2,water,village pump,sunny,no grassy,215530,1022636,337,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,annelid,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars003,3,water,jar ,sunny,no grassy,215444,1022721,248,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars004,4,water,reflew shower ,sunny,no grassy,215371,1022729,344,< 1 m,< 100 m,permanent,negative,stagnant,opaque,"< 0,5 m",organic matter,absent,dipterea,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars005,5,water,jar ,sunny,no grassy,215356,1022542,343,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars006,6,water,reflew shower ,sunny,no grassy,215404,1022469,341,< 1 m,< 100 m,permanent,negative,stagnant,opaque,"< 0,5 m",organic matter,absent,others,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars007,7,water,village pump,sunny,no grassy,215451,1022520,339,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars008,8,water,jar ,sunny,no grassy,215460,1022365,336,< 1 m,< 100 m,permanent,negative,stagnant,tubid,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars009,9,water,jar ,sunny,no grassy,215487,1022625,341,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,others,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars010,10,water,reflew shower ,sunny,no grassy,215500,1022809,347,< 1 m,< 100 m,permanent,negative,stagnant,opaque,"< 0,5 m",organic matter,absent,others,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars011,11,water,reflew shower ,sunny,no grassy,215404,1022665,342,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,dipterea,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakologo,sun season,16/03/2019,kamars012,12,water,pool,sunny,grassy,215935,1022651,321,1-10 m,? 500 m,permanent,positive,stagnant,tubid,?1 m,organic matter,amphibian,beetles,LLIN + Bti,trt00,10,35,54,73,123,0,0,0,0,0,0,0,0,46,285,0,0,285,89,196,0,0,0,0,8.9,19.6,0,0,0,1.96,28.5,0,0
Kakologo,sun season,16/03/2019,kamars013,13,water,footprint,sunny,no grassy,215921,1022557,319,< 1 m,100-500 m,temporary,positive,stagnant,opaque,"< 0,5 m",organic matter,absent,heteropterea,LLIN + Bti,trt00,5,25,27,61,34,0,0,0,0,0,0,0,0,19,147,0,0,147,52,95,0,0,0,0,10.4,19,0,0,0,3.8,29.4,0,0
Kakologo,sun season,16/03/2019,kamars014,14,water,footprint,sunny,no grassy,215856,1022585,325,< 1 m,100-500 m,temporary,positive,stagnant,muddy,"< 0,5 m",organic matter,absent,heteropterea,LLIN + Bti,trt00,5,0,0,0,0,23,11,23,13,0,0,0,0,17,0,70,0,70,0,0,34,36,0,0,0,0,6.8,7.2,0,0,0,14,0
Kakologo,sun season,16/03/2019,kamars015,15,water,footprint,sunny,no grassy,215875,1022579,321,< 1 m,? 500 m,temporary,positive,stagnant,muddy,"< 0,5 m",organic matter,amphibian,absent,LLIN + Bti,trt00,5,17,8,45,76,0,0,0,0,0,0,0,0,13,146,0,0,146,25,121,0,0,0,0,5,24.2,0,0,0,4.84,29.2,0,0
Kakologo,sun season,16/03/2019,kamars016,16,water,pool,sunny,grassy,215953,1022446,315,? 10 m,? 500 m,permanent,positive,stagnant,transparente,"< 0,5 m",organic matter,amphibian,mollusk,LLIN + Bti,trt00,20,32,17,26,19,0,0,0,0,0,0,0,0,29,94,0,0,94,49,45,0,0,0,0,2.45,2.25,0,0,0,0.1125,4.7,0,0
Nambatiourkaha,sun season,18/03/2019,namars001,1,water,pond,shady,tree,222091,1029488,293,1-10 m,? 500 m,permanent,positive,stagnant,tubid,"< 0,5 m",organic matter,fish,mollusk,LLIN + Bti,trt00,10,9,6,37,12,0,0,0,0,0,0,0,0,6,64,0,0,64,15,49,0,0,0,0,1.5,4.9,0,0,0,0.49,6.4,0,0
Nambatiourkaha,sun season,18/03/2019,namars007,7,water,pond,shady,tree,222147,1029469,322,1-10 m,100-500 m,permanent,positive,stagnant,tubid,"< 0,5 m",organic matter,fish,mollusk,LLIN + Bti,trt00,10,15,13,9,13,15,12,5,7,0,0,0,0,10,50,39,0,89,28,22,27,12,0,0,2.8,2.2,2.7,1.2,0,0.22,5,3.9,0
Nambatiourkaha,sun season,18/03/2019,namars010,10,water,village pump,sunny,no grassy,222846,1030121,324,< 1 m,< 100 m,permanent,positive,stagnant,tubid,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,8,4,10,17,0,0,0,0,0,0,0,0,7,39,0,0,39,12,27,0,0,0,0,2.4,5.4,0,0,0,1.08,7.8,0,0
Nambatiourkaha,sun season,18/03/2019,namars011,11,water,village pump,sunny,no grassy,222819,1030066,321,< 1 m,< 100 m,permanent,negative,stagnant,transparente,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nambatiourkaha,sun season,18/03/2019,namars012,12,water,jar ,sunny,no grassy,222815,1030963,322,< 1 m,< 100 m,permanent,positive,stagnant,transparente,"< 0,5 m",organic matter,absent,absent,LLIN + Bti,trt00,5,0,0,0,0,13,6,10,16,11,7,12,16,6,0,45,46,91,0,0,19,26,18,28,0,0,3.8,5.2,3.6,0,0,9,9.2
