Date,Month,Year,Site #,House #,Basline period=0; intervention period=1,Larviciding site no=0; yes=1,"season (dry=1, long rain=2, short rain =3)",Adults slept in house last night,Children slept in house last night,total sleepers,Insecticide sprayed last night,Coil used last night,Treated net used last night in house,GAMBIAE males,GA empty,GA Fed,GA H gravid,GA gravid,GA TOT,Fed An ambiae per person,FUNESTUS males,FU empty,FU Fed,FU H gravid,FU gravid,FU TOT,Fed An funestus per person,CULEX males,CU empty,CU Fed,CU H gravid,CU gravid,CU TOT,Fed Culex per person,RUFIPES males,RU empty,RU Fed,RU H gra,RU gravid,RU TOT,Fed An rufipes per person
1/22/04,1,2004,1,1,0,1,1,2,3,5,0,0,0,3,0,2,1,0,6,0.4,0,0,1,0,0,1,0.2,2,0,1,0,0,3,0.2,0,0,0,0,0,0,0
1/23/04,1,2004,1,2,0,1,1,3,3,6,0,0,0,4,2,3,5,0,14,0.5,0,0,0,0,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,3,0,1,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,3,0,0,0,0,3,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,4,0,1,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0.5,2,0,0,2,1,5,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,5,0,1,1,2,0,2,0,0,0,1,0,11,11,0,23,5.5,0,0,0,3,0,3,0,11,2,0,5,1,19,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,6,0,1,1,2,2,4,0,1,0,3,0,3,5,0,11,0.75,0,0,0,0,0,0,0,3,2,0,6,0,11,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,7,0,1,1,2,2,4,0,0,0,0,0,1,0,0,1,0.25,4,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1/23/04,1,2004,1,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,10,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1/22/04,1,2004,1,9,0,1,1,4,0,4,0,0,0,2,0,1,1,1,5,0.25,0,0,1,1,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/04,1,2004,1,10,0,1,1,1,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,16,4,1,0,7,28,1,0,0,0,0,0,0,0
2/18/04,2,2004,1,1,0,1,1,2,3,5,0,0,0,0,0,4,6,1,11,0.8,0,0,0,1,1,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,2,0,1,1,2,2,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,3,0,1,1,2,3,5,0,0,0,2,0,2,3,0,7,0.4,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,4,0,1,1,3,3,6,0,0,0,0,0,2,0,0,2,0.333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,5,0,1,1,2,1,3,0,0,0,3,0,0,4,0,7,0,2,0,2,0,0,4,0.666666667,0,0,1,0,4,5,0.333333333,0,0,0,0,0,0,0
2/18/04,2,2004,1,6,0,1,1,2,2,4,0,0,0,3,0,9,6,0,18,2.25,0,0,1,0,0,1,0.25,0,0,1,0,1,2,0.25,0,0,0,0,0,0,0
2/18/04,2,2004,1,7,0,1,1,2,3,5,0,0,0,0,0,2,4,1,7,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,8,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,9,0,1,1,2,1,3,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/04,2,2004,1,10,0,1,1,1,0,1,0,0,0,2,1,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0
3/26/04,3,2004,1,1,0,1,2,2,3,5,0,0,0,0,0,3,0,0,3,0.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3/26/04,3,2004,1,2,0,1,2,2,2,4,0,0,0,2,1,6,0,2,11,1.5,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
3/26/04,3,2004,1,3,0,1,2,2,3,5,0,0,0,9,1,1,0,0,11,0.2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
3/26/04,3,2004,1,4,0,1,2,2,4,6,0,0,0,1,0,6,1,0,8,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0.166666667,0,0,0,0,0,0,0
3/26/04,3,2004,1,5,0,1,2,2,1,3,0,0,0,2,1,9,5,1,18,3,0,0,1,0,0,1,0.333333333,2,1,2,1,1,7,0.666666667,0,0,0,0,0,0,0
