sim,gam_blood_meal_rates,gam_foraging_time ,gam_Q0,gam_phiB,gam_phiI,gam_mum,fun_blood_meal_rates,fun_foraging_time ,fun_Q0,fun_phiB,fun_phiI,fun_mum,gam_dn0,gam_rn,gam_gamman,fun_dn0,fun_rn,fun_gamman
1,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
2,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
3,0.33,0.69,0.92,0.85,0.9,0.132,0.33,0.69,0.94,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
4,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
5,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
6,0.33,0.69,0.85,0.85,0.9,0.132,0.33,0.69,0.84,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
7,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
8,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
9,0.33,0.69,0.98,0.85,0.9,0.132,0.33,0.69,0.98,0.78,0.87,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
10,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
11,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
12,0.33,0.69,0.92,0.8,0.85,0.132,0.33,0.69,0.94,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
13,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
14,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
15,0.33,0.69,0.85,0.8,0.85,0.132,0.33,0.69,0.84,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
16,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.340773639,0.637100833,2.64,0.340773639,0.637100833,2.64
17,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.405089038,0.582766891,3,0.405089038,0.582766891,3
18,0.33,0.69,0.98,0.8,0.85,0.132,0.33,0.69,0.98,0.73,0.82,0.112,0.284991528,0.679742172,2,0.284991528,0.679742172,2
