"","timestep","net_use","prev_6m_10y"
"1",1,0,0.416620189626325
"2",2,0,0.416109253065775
"3",3,0,0.41304347826087
"4",4,0,0.416155988857939
"5",5,0,0.422123154081917
"6",6,0,0.423913043478261
"7",7,0,0.420730008358874
"8",8,0,0.422680412371134
"9",9,0,0.421888053467001
"10",10,0,0.42260579064588
"11",11,0,0.426462395543175
"12",12,0,0.426781737193764
"13",13,0,0.424233983286908
"14",14,0,0.423676880222841
"15",15,0,0.424554565701559
"16",16,0,0.425549679933203
"17",17,0,0.431394377957139
"18",18,0,0.428849902534113
"19",19,0,0.428372352285396
"20",20,0,0.429049344856426
"21",21,0,0.431558405352662
"22",22,0,0.433193863319386
"23",23,0,0.432515337423313
"24",24,0,0.431241283124128
"25",25,0,0.433314732142857
"26",26,0,0.430842163970998
"27",27,0,0.431121026213051
"28",28,0,0.436333240456952
"29",29,0,0.433426183844011
"30",30,0,0.431438127090301
"31",31,0,0.431995540691193
"32",32,0,0.430760657564781
"33",33,0,0.429208472686734
"34",34,0,0.431995540691193
"35",35,0,0.433193863319386
"36",36,0,0.432319285514932
"37",37,0,0.428252372975991
"38",38,0,0.434115019542155
"39",39,0,0.432598381244767
"40",40,0,0.433435668434273
"41",41,0,0.430764935790061
"42",42,0,0.432998324958124
"43",43,0,0.432477678571429
"44",44,0,0.429846582984658
"45",45,0,0.431082589285714
"46",46,0,0.429807423946414
"47",47,0,0.43268156424581
"48",48,0,0.433798882681564
"49",49,0,0.430408049189491
"50",50,0,0.431805477920626
"51",51,0,0.431087503494548
"52",52,0,0.432885906040268
"53",53,0,0.433286713286713
"54",54,0,0.433202906651761
"55",55,0,0.432326621923937
"56",56,0,0.434089000839631
"57",57,0,0.436134453781513
"58",58,0,0.427850938638274
"59",59,0,0.428691510226954
"60",60,0,0.434575511347716
"61",61,0,0.432773109243697
"62",62,0,0.430532212885154
"63",63,0,0.430252100840336
"64",64,0,0.428651371012871
"65",65,0,0.428531468531469
"66",66,0,0.428211586901763
"67",67,0,0.4293310943185
"68",68,0,0.430170724881052
"69",69,0,0.431010355443605
"70",70,0,0.42753217683268
"71",71,0,0.431169557918299
"72",72,0,0.429250559284116
"73",73,0,0.429809843400447
"74",74,0,0.4334451901566
"75",75,0,0.430648769574944
"76",76,0,0.433286713286713
"77",77,0,0.434806939003917
"78",78,0,0.433566433566434
"79",79,0,0.434089000839631
"80",80,0,0.432409739714526
"81",81,0,0.440962506994964
"82",82,0,0.441242305540011
"83",83,0,0.439003917179631
"84",84,0,0.441275167785235
"85",85,0,0.441678321678322
"86",86,0,0.440436241610738
"87",87,0,0.440313111545988
"88",88,0,0.440962506994964
"89",89,0,0.438007276798209
"90",90,0,0.44189302716326
"91",91,0,0.442329227323628
"92",92,0,0.442453094371325
"93",93,0,0.444568868980963
"94",94,0,0.440492859143097
"95",95,0,0.443169092945129
"96",96,0,0.442889137737962
"97",97,0,0.444568868980963
"98",98,0,0.445004198152813
"99",99,0,0.447802966694654
"100",100,0,0.445378151260504
"101",101,0,0.449888017917133
"102",102,0,0.449608062709966
"103",103,0,0.447397873531058
"104",104,0,0.44711807498601
"105",105,0,0.446653598431812
"106",106,0,0.4501679731243
"107",107,0,0.453960257486706
"108",108,0,0.45266106442577
"109",109,0,0.454188848416924
"110",110,0,0.449985990473522
"111",111,0,0.453654438532624
"112",112,0,0.448642597257207
"113",113,0,0.446528555431131
"114",114,0,0.447493699243909
"115",115,0,0.450294035284234
"116",116,0,0.448391608391608
"117",117,0,0.448391608391608
"118",118,0,0.446308724832215
"119",119,0,0.444351230425056
"120",120,0,0.445065697511881
"121",121,0,0.447832167832168
"122",122,0,0.443388314229802
"123",123,0,0.445779765231973
"124",124,0,0.445345261392228
"125",125,0,0.444630872483221
"126",126,0,0.442114093959732
"127",127,0,0.447706935123042
"128",128,0,0.443388314229802
"129",129,0,0.439910564561207
"130",130,0,0.442146450531023
"131",131,0,0.444382336500838
"132",132,0,0.448574622694243
"133",133,0,0.448324022346369
"134",134,0,0.450558659217877
"135",135,0,0.446927374301676
"136",136,0,0.451216102879508
"137",137,0,0.448324022346369
"138",138,0,0.44875733035465
"139",139,0,0.442581726739313
"140",140,0,0.447736165455562
"141",141,0,0.447331656887399
"142",142,0,0.447022644674308
"143",143,0,0.446183953033268
"144",144,0,0.441275167785235
"145",145,0,0.443699357362392
"146",146,0,0.443140542050852
"147",147,0,0.440469536053661
"148",148,0,0.439910564561207
"149",149,0,0.445127059480592
"150",150,0,0.445994976276863
"151",151,0,0.442956764295676
"152",152,0,0.444475446428571
"153",153,0,0.444878593357522
"154",154,0,0.443172298240715
"155",155,0,0.44249022892239
"156",156,0,0.445964814297682
"157",157,0,0.447236180904523
"158",158,0,0.445561139028476
"159",159,0,0.446274072006698
"160",160,0,0.446832263466369
"161",161,0,0.451982132886656
"162",162,0,0.45398773006135
"163",163,0,0.455382041271612
"164",164,0,0.456066945606695
"165",165,0,0.45066889632107
"166",166,0,0.450515751324226
"167",167,0,0.448689347462354
"168",168,0,0.451477969882878
"169",169,0,0.450641383156721
"170",170,0,0.454393305439331
"171",171,0,0.452593418851088
"172",172,0,0.449679397825481
"173",173,0,0.451226309921962
"174",174,0,0.446488294314381
"175",175,0,0.44667223614592
"176",176,0,0.446518105849582
"177",177,0,0.447478406241293
"178",178,0,0.451559020044543
"179",179,0,0.443918730865572
"180",180,0,0.446577629382304
"181",181,0,0.442280945757997
"182",182,0,0.440890125173853
"183",183,0,0.439343350027824
"184",184,0,0.442125765164162
"185",185,0,0.444073455759599
"186",186,0,0.441012799109627
"187",187,0,0.441102756892231
"188",188,0,0.43847438752784
"189",189,0,0.436247216035635
"190",190,0,0.441135541330365
"191",191,0,0.440300584469802
"192",192,0,0.438074032841637
"193",193,0,0.440857222376844
"194",194,0,0.439554317548747
"195",195,0,0.437883008356546
"196",196,0,0.440111420612813
"197",197,0,0.435376044568245
"198",198,0,0.436768802228412
"199",199,0,0.438005015324603
"200",200,0,0.437204121414648
"201",201,0,0.436125800166991
"202",202,0,0.437761069340017
"203",203,0,0.436768802228412
"204",204,0,0.434419381787803
"205",205,0,0.433305485937065
"206",206,0,0.43402004454343
"207",207,0,0.43167269691066
"208",208,0,0.433704735376045
"209",209,0,0.433426183844011
"210",210,0,0.434261838440111
"211",211,0,0.429646140986347
"212",212,0,0.431077694235589
"213",213,0,0.429008908685969
"214",214,0,0.431596544998607
"215",215,0,0.424791086350975
"216",216,0,0.429406850459482
"217",217,0,0.425389755011136
"218",218,0,0.426106317840245
"219",219,0,0.425709515859766
"220",220,0,0.420027816411683
"221",221,0,0.418010005558644
"222",222,0,0.419121734296832
"223",223,0,0.418126216291354
"224",224,0,0.41729218793439
"225",225,0,0.415183537263626
"226",226,0,0.418475236505287
"227",227,0,0.414186369958275
"228",228,0,0.410127991096272
"229",229,0,0.412468689117729
"230",230,0,0.404728789986092
"231",231,0,0.406954102920723
"232",232,0,0.406449819293856
"233",233,0,0.404894327030033
"234",234,0,0.401445649152071
"235",235,0,0.403391715318321
"236",236,0,0.400834492350487
"237",237,0,0.398109535724215
"238",238,0,0.396556512079978
"239",239,0,0.39128019994446
"240",240,0,0.392391002499306
"241",241,0,0.391775493192554
"242",242,0,0.384037819799778
"243",243,0,0.390094602114635
"244",244,0,0.38692628650904
"245",245,0,0.385257301808067
"246",246,0,0.38442280945758
"247",247,0,0.382475660639777
"248",248,0,0.37952142459655
"249",249,0,0.37900306321359
"250",250,0,0.378130217028381
"251",251,0,0.373121869782972
"252",252,0,0.373225716671305
"253",253,0,0.36884561891516
"254",254,0,0.36867000556483
"255",255,0,0.366165831942126
"256",256,0,0.365406006674082
"257",257,0,0.365785813630042
"258",258,0,0.360778859527121
"259",259,0,0.361335187760779
"260",260,0,0.3587319243604
"261",261,0,0.354462051709758
"262",262,0,0.354659248956885
"263",263,0,0.353465070971333
"264",264,0,0.349290286668522
"265",265,0,0.349095966620306
"266",266,0,0.347052280311457
"267",267,0,0.345287739783153
"268",268,0,0.343993325917686
"269",269,0,0.342324805339266
"270",270,0,0.339077265147304
"271",271,0,0.335279399499583
"272",272,0,0.337687604224569
"273",273,0,0.334444444444444
"274",274,0,0.333611111111111
"275",275,0,0.328055555555556
"276",276,0,0.32870627429206
"277",277,0,0.327595780122154
"278",278,0,0.329630658150514
"279",279,0,0.32713135240211
"280",280,0,0.325277777777778
"281",281,0,0.322777777777778
"282",282,0,0.321845469705392
"283",283,0,0.319154851264943
"284",284,0,0.320266889074229
"285",285,0,0.318131256952169
"286",286,0,0.315804117974402
"287",287,0,0.315438108484006
"288",288,0,0.313943779571389
"289",289,0,0.315789473684211
"290",290,0,0.314747700027878
"291",291,0,0.313353777529969
"292",292,0,0.310181311018131
"293",293,0,0.316596931659693
"294",294,0,0.312970711297071
"295",295,0,0.311104910714286
"296",296,0,0.312046848856665
"297",297,0,0.313998884551032
"298",298,0,0.313720022308979
"299",299,0,0.315760111576011
"300",300,0,0.315011160714286
"301",301,0,0.316317991631799
"302",302,0,0.315760111576011
"303",303,0,0.315760111576011
"304",304,0,0.317890036282445
