"","timestep","V2","V3","V4"
"1",1,0.329466666666667,0.3235,0.3373
"2",2,0.329816666666667,0.3228,0.3353
"3",3,0.331083333333333,0.3248,0.3373
"4",4,0.330416666666667,0.3212,0.3392
"5",5,0.330791666666667,0.325,0.3357
"6",6,0.328458333333333,0.3221,0.3324
"7",7,0.328841666666667,0.321,0.335
"8",8,0.327716666666667,0.3246,0.3315
"9",9,0.326941666666667,0.3235,0.3321
"10",10,0.327008333333333,0.3189,0.3329
"11",11,0.326108333333333,0.3207,0.3321
"12",12,0.325875,0.3188,0.3309
"13",13,0.323725,0.3156,0.3297
"14",14,0.322833333333333,0.3171,0.3307
"15",15,0.323066666666667,0.3155,0.3289
"16",16,0.321591666666667,0.3153,0.3258
"17",17,0.323058333333333,0.3166,0.3281
"18",18,0.323133333333333,0.3123,0.3289
"19",19,0.321233333333333,0.3159,0.3255
"20",20,0.318433333333333,0.3132,0.322
"21",21,0.318708333333333,0.316,0.3226
"22",22,0.320091666666667,0.313,0.3302
"23",23,0.318658333333333,0.312,0.3259
"24",24,0.317716666666667,0.3104,0.3235
"25",25,0.316908333333333,0.3083,0.3208
"26",26,0.316683333333333,0.3096,0.3213
"27",27,0.31665,0.3113,0.3231
"28",28,0.3155,0.3103,0.3205
"29",29,0.314116666666667,0.3098,0.3189
"30",30,0.31245,0.3054,0.321
"31",31,0.311858333333333,0.3051,0.3208
"32",32,0.312,0.3069,0.3211
"33",33,0.310083333333333,0.305,0.3187
"34",34,0.30895,0.3057,0.3147
"35",35,0.308283333333333,0.3024,0.315
"36",36,0.307233333333333,0.3016,0.3126
"37",37,0.30715,0.3014,0.3129
"38",38,0.303858333333333,0.2958,0.3076
"39",39,0.303466666666667,0.2945,0.309
"40",40,0.302191666666667,0.2947,0.3084
"41",41,0.302,0.2974,0.3081
"42",42,0.29945,0.2935,0.3082
"43",43,0.299375,0.2926,0.3065
"44",44,0.295916666666667,0.2896,0.3022
"45",45,0.295241666666667,0.2869,0.3018
"46",46,0.294116666666667,0.2885,0.2993
"47",47,0.292791666666667,0.2846,0.2998
"48",48,0.292183333333333,0.2852,0.2985
"49",49,0.290416666666667,0.2847,0.2969
"50",50,0.288425,0.2834,0.2982
"51",51,0.287910696903024,0.28,0.2976
"52",52,0.285944036070274,0.2816,0.29
"53",53,0.285594022735607,0.2751,0.2917
"54",54,0.28455235356869,0.277,0.2911
"55",55,0.281985656899023,0.2745,0.2902
"56",56,0.28096899189919,0.2732,0.29
"57",57,0.279552295229523,0.2738,0.2867
"58",58,0.279852272727273,0.272727272727273,0.2859
"59",59,0.278435611061106,0.273327332733273,0.2826
"60",60,0.277168956062273,0.2722,0.2831
"61",61,0.275168894389439,0.267326732673267,0.28
"62",62,0.274677276894356,0.2705,0.2794
"63",63,0.274246134226845,0.268053610722144,0.2799
"64",64,0.273329430886177,0.265853170634127,0.2783
"65",65,0.269862712542508,0.262752550510102,0.2777
"66",66,0.268704429219177,0.2621,0.2745
"67",67,0.267562687537508,0.26125225045009,0.2723
"68",68,0.267587702540508,0.262152430486097,0.2745
"69",69,0.266148379451701,0.2614,0.2712
"70",70,0.264614928597614,0.2595,0.2704
"71",71,0.264214891922112,0.2555,0.2705
"72",72,0.2624920454693,0.258851770354071,0.2675
"73",73,0.262583670461798,0.256851370274055,0.2712
"74",74,0.261433597114963,0.253150630126025,0.2673
"75",75,0.259550245448796,0.254550910182036,0.2643
"76",76,0.258475156263209,0.248549709941988,0.2682
"77",77,0.257883575447129,0.2517,0.2621
"78",78,0.258166831263042,0.247949589917984,0.2664
"79",79,0.255850131265877,0.2507,0.2619
"80",80,0.255558503769961,0.251750350070014,0.2629
"81",81,0.253993694778226,0.244424442444244,0.262
"82",82,0.253427044780893,0.245324532453245,0.2613
"83",83,0.252660390611809,0.243648729745949,0.2599
"84",84,0.249562363313247,0.246024602460246,0.2537
"85",85,0.250454021644913,0.242924292429243,0.2557
"86",86,0.249497753513266,0.242748549709942,0.2553
"87",87,0.247581034343682,0.242624262426243,0.2547
"88",88,0.246930856810759,0.23504700940188,0.2519
"89",89,0.245347486815595,0.236323632363236,0.2514
"90",90,0.245247538491763,0.236523652365237,0.251
"91",91,0.24409740180476,0.23874774954991,0.2492
"92",92,0.244122360127758,0.23504700940188,0.2518
"93",93,0.24327438950503,0.238423842384238,0.252
"94",94,0.243024360324777,0.233246649329866,0.2502
"95",95,0.241707616989111,0.235523552355236,0.2494
"96",96,0.240540836970774,0.232246449289858,0.2495
"97",97,0.242082645326278,0.237047409481896,0.2493
"98",98,0.240015810301441,0.232246449289858,0.2495
"99",99,0.240665841142026,0.234746949389878,0.2518
"100",100,0.239540826135858,0.231946389277856,0.244
"101",101,0.238232381112853,0.224844968993799,0.2426
"102",102,0.237063665914668,0.228845769153831,0.2429
"103",103,0.237713707589836,0.231446289257852,0.2442
"104",104,0.237449014451355,0.229222922292229,0.245224522452245
"105",105,0.235840580267602,0.225745149029806,0.248424842484248
"106",106,0.23589058360477,0.227845569113823,0.2424
"107",107,0.235032228599935,0.22624524904981,0.240624062406241
"108",108,0.234065486922767,0.224444888977796,0.241824182418242
"109",109,0.234748800251766,0.223044608921784,0.241
"110",110,0.234850880861074,0.228445689137828,0.241024102410241
"111",111,0.233800852531909,0.227922792279228,0.239447889577916
"112",112,0.235242561693657,0.228645729145829,0.244424442444244
"113",113,0.232375685844906,0.226422642264226,0.236523652365237
"114",114,0.232934023337321,0.224444888977796,0.237823782378238
"115",115,0.232759017496235,0.223922392239224,0.238123812381238
"116",116,0.233675770844238,0.229245849169834,0.2386
"117",117,0.232042269159736,0.226622662266227,0.2368
"118",118,0.232550753348489,0.223044608921784,0.240848169633927
"119",119,0.231821188717858,0.225845169033807,0.2364
"120",120,0.231896138706856,0.226045209041808,0.2378
"121",121,0.231504452876441,0.225522552255226,0.236223622362236
"122",122,0.23044803179041,0.224822482248225,0.236847369473895
"123",123,0.231673115133745,0.223144628925785,0.238323832383238
"124",124,0.230581423465911,0.224644928985797,0.235923592359236
"125",125,0.232339885981663,0.22374474894979,0.236747349469894
"126",126,0.232231576820915,0.226322632263226,0.236223622362236
"127",127,0.232781535134576,0.22004400880176,0.238623862386239
"128",128,0.23248992598333,0.227645529105821,0.238223822382238
"129",129,0.231931515148914,0.225645129025805,0.2375
"130",130,0.231333260684707,0.220644128825765,0.237523752375238
"131",131,0.231933405713546,0.224144828965793,0.239123912391239
"132",132,0.232758532397549,0.225645129025805,0.239023902390239
"133",133,0.232958509059881,0.227245449089818,0.237623762376238
"134",134,0.234333610749053,0.228422842284228,0.23972397239724
"135",135,0.234050245736049,0.223844768953791,0.239423942394239
"136",136,0.235408709097055,0.227222722272227,0.242424242424242
"137",137,0.234875439940973,0.228222822282228,0.241724172417242
"138",138,0.236269095968742,0.229645929185837,0.244024402440244
"139",139,0.235120882359624,0.228045609121824,0.243924392439244
"140",140,0.23527934821321,0.228245649129826,0.243924392439244
"141",141,0.236262736560713,0.22754550910182,0.24032403240324
"142",142,0.236621075721795,0.23012301230123,0.242724272427243
"143",143,0.237346194907715,0.228645729145829,0.244924492449245
"144",144,0.237721272427803,0.226545309061812,0.244824482448245
"145",145,0.239121343267553,0.230246049209842,0.245424542454245
"146",146,0.238963045774305,0.230846169233847,0.244824482448245
"147",147,0.239388112450473,0.231346269253851,0.253425342534253
"148",148,0.238696357431969,0.228945789157832,0.248024802480248
