"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",0.3524,0.3473,0.3573,0.3621,0.3482,0.3519,0.3565,0.3452,0.3516,0.3625,0.3513,0.3554,0.3505,0.3531,0.3513,0.3523,0.3482,0.3508,0.3539,0.3409,0.3612,0.3499,0.3538,0.3581,0.3637,0.3487,0.3616,0.3553,0.3462,0.3591,0.3517,0.3579,0.3526,0.3634,0.3542,0.3481
"2",0.35,0.35,0.3594,0.3567,0.3504,0.353,0.353,0.3491,0.3452,0.3658,0.3498,0.3559,0.3487,0.3547,0.3475,0.3503,0.3515,0.3529,0.3536,0.3442,0.3571,0.3589,0.3624,0.3566,0.3549,0.3448,0.3559,0.3591,0.355,0.3611,0.3539,0.3575,0.3547,0.3613,0.3508,0.3584
"3",0.3557,0.3471,0.3545,0.355,0.3524,0.349,0.3596,0.3556,0.3471,0.3619,0.3461,0.3523,0.3452,0.3545,0.3435,0.3558,0.3442,0.3481,0.3494,0.3402,0.3579,0.3553,0.3604,0.3585,0.3597,0.3507,0.3535,0.3519,0.3564,0.3575,0.351,0.3505,0.3506,0.3603,0.3478,0.3519
"4",0.3462,0.3447,0.3565,0.3595,0.3494,0.349,0.3584,0.3479,0.3419,0.3622,0.3467,0.35,0.3481,0.3555,0.3483,0.3579,0.3518,0.346,0.354,0.3407,0.3556,0.3516,0.3575,0.3532,0.3511,0.3496,0.3581,0.3552,0.3548,0.3616,0.3532,0.3595,0.3619,0.361,0.3527,0.3551
"5",0.3538,0.3448,0.3516,0.3507,0.3554,0.3478,0.3618,0.3487,0.3472,0.3531,0.3474,0.3495,0.3456,0.3518,0.3475,0.3542,0.349,0.3522,0.3519,0.3468,0.3555,0.3543,0.3578,0.3563,0.357,0.3403,0.3551,0.3516,0.3468,0.3618,0.3507,0.3537,0.3542,0.3599,0.3543,0.3563
"6",0.3477,0.3508,0.3544,0.3562,0.3463,0.3476,0.3585,0.3496,0.3459,0.3603,0.3472,0.3497,0.3442,0.3511,0.3474,0.3526,0.3495,0.3478,0.3472,0.3434,0.3543,0.3542,0.3533,0.353,0.3501,0.353,0.352,0.3527,0.3527,0.3584,0.3542,0.357,0.3531,0.3543,0.3532,0.3512
"7",0.3496,0.3514,0.3505,0.3538,0.3482,0.3481,0.3579,0.3497,0.3534,0.3587,0.3533,0.3591,0.3421,0.3502,0.3474,0.351,0.3448,0.3546,0.3525,0.3456,0.351,0.3457,0.3595,0.3531,0.3563,0.3507,0.3507,0.3527,0.3502,0.3631,0.3516,0.3578,0.3469,0.3569,0.3527,0.3473
"8",0.3511,0.3418,0.3568,0.3578,0.3481,0.343,0.3517,0.3501,0.3456,0.3579,0.3485,0.3547,0.343,0.3525,0.3466,0.3495,0.3501,0.3495,0.3537,0.3435,0.3566,0.3491,0.3513,0.3547,0.3524,0.3439,0.355,0.3515,0.35,0.3578,0.3504,0.3517,0.3535,0.3562,0.3426,0.3487
"9",0.3479,0.346,0.35,0.3536,0.3521,0.3468,0.3575,0.343,0.3472,0.3557,0.3499,0.3513,0.3408,0.3581,0.345,0.3529,0.3436,0.3482,0.3518,0.3417,0.355,0.3418,0.3576,0.3488,0.3544,0.3425,0.3572,0.3456,0.35,0.3536,0.3475,0.3519,0.3535,0.3534,0.3527,0.3458
"10",0.347,0.3407,0.3507,0.356,0.3521,0.352,0.3488,0.3462,0.3455,0.3509,0.3454,0.3501,0.3437,0.3489,0.3497,0.3476,0.351,0.3455,0.3509,0.3466,0.3527,0.3501,0.3496,0.3539,0.3544,0.3492,0.3588,0.3532,0.3437,0.3609,0.3521,0.351,0.3598,0.3524,0.3483,0.3465
