months,year,site1nets,site2nets,site3nets,site4nets,site5nets,site6nets,timesteps_list,timesteps
June,2004,0.13,0.040816327,0.047058824,0.131313131,0.059405941,0.082474227,6,883
August,2004,0.088888889,0.045454545,0.048192771,0.12345679,0.053333333,0.012658228,8,944
November,2004,NA,0.027777778,0.089108911,0.107843137,0.147727273,0.058252427,11,1035
January,2005,0.172043011,0.113402062,0.222222222,0.191011236,0.131868132,0.044444444,13,1096
April,2005,0.070588235,0.107843137,0.354166667,0.252873563,NA,0.139784946,16,1187
May,2005,NA,NA,NA,NA,0.115942029,NA,17,1218
June,2005,0.289855072,0.126213592,0.32183908,0.390804598,0.33,0.214285714,18,1248
November,2005,0.306122449,0.25,0.258064516,0.357142857,NA,NA,23,1400
December,2005,NA,NA,NA,NA,0.229885057,NA,24,1431
January,2006,0.391752577,0.058823529,0.467391304,0.4375,0.24,0.337349398,25,1461
April,2006,0.436170213,0.166666667,0.192771084,0.263888889,0.289473684,0.212765957,28,1552
July,2006,0.488888889,0.26744186,0.355263158,0.461538462,0.420454545,0.46,31,1644
November,2006,0.6,0.426086957,0.536585366,0.567164179,0.454545455,0.368715084,35,1765
January,2007,0.544444444,0.408602151,0.597560976,0.415384615,0.4125,0.449438202,37,1826
